Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
25.000000	0.085016	1.478000	86.918000	91.307000	1.678000	80.665000	83.874000	
26.000000	0.083912	1.478000	86.445000	91.144000	1.622000	80.338000	85.211000	
27.000000	0.082778	1.476000	86.903000	91.388000	1.606000	81.590000	85.981000	
28.000000	0.081613	1.470000	86.977000	91.399000	1.616000	81.510000	85.211000	
29.000000	0.080420	1.462000	88.018000	92.121000	1.650000	78.719000	83.590000	
30.000000	0.079199	1.464000	88.031000	92.030000	1.619000	80.428000	85.049000	
31.000000	0.077952	1.459000	88.384000	92.142000	1.631000	78.840000	84.522000	
32.000000	0.076679	1.452000	88.087000	92.294000	1.605000	81.090000	85.778000	
33.000000	0.075383	1.451000	88.456000	92.498000	1.602000	80.560000	85.413000	
34.000000	0.074065	1.449000	88.850000	92.529000	1.591000	79.871000	85.859000	
35.000000	0.072725	1.450000	88.533000	92.427000	1.596000	81.843000	86.588000	
36.000000	0.071365	1.442000	89.657000	92.987000	1.585000	82.323000	87.399000	
37.000000	0.069986	1.442000	89.567000	92.956000	1.687000	79.183000	83.266000	
38.000000	0.068590	1.437000	89.724000	93.068000	1.608000	79.677000	85.900000	
39.000000	0.067178	1.433000	89.824000	93.221000	1.584000	82.006000	87.318000	
40.000000	0.065752	1.432000	89.669000	93.129000	1.638000	79.681000	84.076000	
41.000000	0.064313	1.427000	90.165000	93.516000	1.594000	82.117000	86.912000	
42.000000	0.062862	1.422000	90.768000	93.923000	1.612000	80.707000	85.859000	
43.000000	0.061401	1.420000	90.511000	93.699000	1.605000	81.239000	85.900000	
44.000000	0.059931	1.417000	90.949000	93.872000	1.602000	80.256000	86.183000	
45.000000	0.058453	1.415000	90.890000	93.994000	1.598000	81.706000	86.426000	
46.000000	0.056970	1.410000	90.972000	94.015000	1.567000	81.651000	86.953000	
47.000000	0.055483	1.403000	91.862000	94.524000	1.604000	81.531000	85.454000	
48.000000	0.053992	1.402000	92.031000	94.697000	1.604000	82.077000	85.818000	
49.000000	0.052500	1.397000	91.433000	94.544000	1.601000	81.667000	86.062000	
50.000000	0.051008	1.392000	92.483000	95.083000	1.588000	81.837000	86.669000	
51.000000	0.049517	1.394000	92.138000	94.819000	1.640000	79.699000	83.752000	
52.000000	0.048030	1.386000	92.996000	95.195000	1.578000	83.959000	87.723000	
53.000000	0.046547	1.377000	92.900000	95.236000	1.570000	81.306000	86.588000	
54.000000	0.045069	1.381000	93.078000	95.318000	1.581000	82.135000	86.224000	
55.000000	0.043599	1.375000	92.948000	95.307000	1.561000	82.930000	87.277000	
56.000000	0.042138	1.371000	93.189000	95.521000	1.616000	82.252000	85.697000	
57.000000	0.040687	1.371000	93.116000	95.501000	1.585000	82.327000	86.102000	
58.000000	0.039248	1.369000	93.437000	95.613000	1.557000	84.119000	88.371000	
59.000000	0.037822	1.361000	94.229000	96.081000	1.578000	83.084000	86.507000	
60.000000	0.036410	1.359000	94.340000	96.183000	1.555000	80.967000	86.994000	
61.000000	0.035014	1.354000	94.498000	96.376000	1.566000	82.965000	87.439000	
62.000000	0.033635	1.352000	94.429000	96.437000	1.560000	82.206000	87.358000	
63.000000	0.032275	1.349000	94.629000	96.458000	1.575000	83.862000	86.953000	
64.000000	0.030935	1.342000	95.241000	96.834000	1.568000	84.031000	87.358000	
65.000000	0.029617	1.343000	95.444000	96.885000	1.565000	82.698000	87.237000	
66.000000	0.028321	1.336000	95.790000	97.038000	1.567000	83.223000	87.520000	
67.000000	0.027048	1.334000	95.921000	97.231000	1.574000	82.322000	87.399000	
68.000000	0.025801	1.330000	95.904000	97.313000	1.556000	83.622000	87.561000	
69.000000	0.024580	1.323000	96.157000	97.435000	1.534000	83.826000	88.412000	
70.000000	0.023387	1.324000	96.320000	97.537000	1.554000	82.689000	87.277000	
71.000000	0.022222	1.323000	96.295000	97.618000	1.563000	83.035000	87.480000	
72.000000	0.021088	1.319000	96.274000	97.638000	1.542000	84.238000	88.088000	
73.000000	0.019984	1.313000	96.836000	97.944000	1.537000	83.517000	88.088000	
74.000000	0.018912	1.311000	96.914000	97.934000	1.543000	83.159000	87.763000	
75.000000	0.017874	1.310000	97.149000	98.117000	1.542000	84.217000	88.169000	
